,BAVAE_sample_100_x100_seed_0,AVAE_sample_100_x100_seed_0,BAVAE_sample_100_x100_seed_994,AVAE_sample_100_x100_seed_994,BAVAE_sample_100_x100_seed_236,AVAE_sample_100_x100_seed_236,BAVAE_sample_100_x100_seed_71,AVAE_sample_100_x100_seed_71,BAVAE_sample_100_x100_seed_415,AVAE_sample_100_x100_seed_415
dims,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
iLISI_batch,0.3077305513966408,0.22516090945661424,0.3033177064049386,0.23621081847057976,0.3028819094785716,0.21838096393968867,0.30649005631819826,0.22862423827604872,0.307119367020452,0.21185670211533758
cLISI_full,0.9891666293510942,0.9934744813325564,0.9895580986058758,0.9932720459204271,0.9891518562351174,0.994130060304002,0.9896265013630389,0.9938783221764731,0.9895051261015827,0.9940115594875487
asw_batch,0.8816067819591055,0.8904955008223477,0.8787637583894287,0.8893205373030089,0.8811819077307316,0.889338029688817,0.8820006197087333,0.8851966783564901,0.8775553337938333,0.8862687472710369
asw_label,0.5636204406619072,0.5515448488295078,0.5735930129885674,0.55739551410079,0.5615538023412228,0.5613068453967571,0.5701313242316246,0.5709427073597908,0.5665982514619827,0.5616715922951698
cc_cons,0.834703349396616,0.726872473143177,0.796280467438613,0.7098614995970018,0.7406822425093017,0.7338154046993198,0.8078069679629695,0.7925437337315,0.8644447249038613,0.8088063213680581
graph_conn,0.9629481435280222,0.9740860538317442,0.9607955559934315,0.9735901053794276,0.9677370330457371,0.9751573158678664,0.9593868039298918,0.9750877604884051,0.9602880694176744,0.9743131964327141
nmi,0.7472881513927571,0.7699794115302195,0.7476629940859343,0.7733402614535653,0.7494551849343607,0.7645703174473404,0.7434649583472921,0.777802012789972,0.7475316457825961,0.7510959801885343
ti_cons_batch_gex,0.9574746690649534,0.9652538715954645,0.966044916612122,0.9635179832251961,0.9630193922800474,0.966810490265208,0.9629934466781203,0.9676434219960655,0.9624389091045136,0.9600516190213078
ti_cons_batch_adt_atac,0.8580006593679839,0.857726341410797,0.8590402589963392,0.8596726174042221,0.858499885839494,0.851547848060086,0.858897904158268,0.8578091991383083,0.8610557474318786,0.8543555979719508
ti_cons_batch_mean,0.9077376642164686,0.9114901065031307,0.9125425878042306,0.911595300314709,0.9107596390597708,0.909179169162647,0.9109456754181942,0.9127263105671869,0.911747328268196,0.9072036084966293
iLISI_site,0.5474953985497256,0.37394331900193406,0.5344632614086162,0.3970986528138174,0.5344332489779537,0.36018589046770605,0.5425809218747779,0.3771032003685349,0.5478844322444824,0.35981025181820786
asw_site,0.9236730240488875,0.9273109848411805,0.9266717153054826,0.9261489728586535,0.9277766170581856,0.9237622438750231,0.9310438606311072,0.9241049215462017,0.9286645898122335,0.9262789654338354
iLISI_d1,0.5946631994032239,0.5088606442360184,0.600506187861328,0.5183298651165806,0.6120226737147298,0.4458212245663822,0.6059866434331733,0.49670399236898866,0.6012622268568482,0.48145122457518075
cLISI_d1,0.9952422684222502,0.9957659667310503,0.9955242521151856,0.9967917695798139,0.9962843704585171,0.9972406578737545,0.995793058091935,0.9969247219233356,0.9963429506811433,0.9965951456690604
asw_batch_d1,0.899526148071662,0.9130728016560926,0.8993715032143819,0.9068263521091424,0.9025642738669764,0.8957165561065608,0.906146488000353,0.9064834922832418,0.9010884900381095,0.907468972188067
