,BAVAE_sample_100_x5.0_seed_0,BAVAE_sample_100_x5.0_seed_994,BAVAE_sample_100_x5.0_seed_236,BAVAE_sample_100_x5.0_seed_71,BAVAE_sample_100_x5.0_seed_415,BAVAE_sample_100_x10.0_seed_0,BAVAE_sample_100_x10.0_seed_994,BAVAE_sample_100_x10.0_seed_236,BAVAE_sample_100_x10.0_seed_71,BAVAE_sample_100_x10.0_seed_415,BAVAE_sample_100_x25.0_seed_0,BAVAE_sample_100_x25.0_seed_994,BAVAE_sample_100_x25.0_seed_236,BAVAE_sample_100_x25.0_seed_71,BAVAE_sample_100_x25.0_seed_415
dims,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
iLISI_batch,0.30667038659791634,0.30837849604514145,0.3108875321897359,0.3093677439389615,0.31853301090602987,0.32041407171865205,0.31673192079474166,0.31788634374650687,0.31841667934899537,0.31806315106903243,0.3203545214024541,0.31939675972110665,0.31718091762734696,0.3168661161124145,0.31803715800172266
cLISI_full,0.9949152193160958,0.9948892249726746,0.99512551749488,0.9951879765405348,0.9947917733807663,0.9941156582179725,0.994694761449628,0.9944126971096788,0.994433889829238,0.9948042693203893,0.9939445784326043,0.9934729446932451,0.9930916697000062,0.9930733708895141,0.9938950708240283
asw_batch,0.8679576164133049,0.8596471586307266,0.869233497268264,0.8612358444815087,0.8592058493800582,0.86481029301999,0.8595024315111895,0.8638779176097074,0.8633806455703954,0.8581992173423406,0.8670191879851729,0.8694148876323747,0.8721670726804153,0.868955284950852,0.8684321313241654
asw_label,0.5913056880235672,0.5964203029870987,0.5941459015011787,0.6016621738672256,0.5925876721739769,0.5893551036715508,0.5998945236206055,0.6013145372271538,0.5965863391757011,0.5939655900001526,0.6026300266385078,0.5940955355763435,0.5834134742617607,0.581542432308197,0.5921513363718987
cc_cons,0.8671792806379766,0.8012574403440527,0.8916491808540015,0.8716703265589151,0.8591408690755238,0.8006730582358392,0.8520320467586189,0.8466870507374907,0.833863267312061,0.8723933820657788,0.837767782834721,0.8322179198030457,0.8474832719143516,0.8480290214531679,0.8548555666105864
graph_conn,0.9637854540590627,0.9629382727735396,0.9610271236952571,0.9580480279999829,0.9616265866698377,0.9615432253165905,0.9600368932915813,0.9635361432571016,0.9605949045391079,0.9600446833863767,0.9608758096279518,0.9622272945318979,0.9601259344383702,0.9595080470876988,0.9633297694047026
nmi,0.7643011512033246,0.7571943342945182,0.7703938548914651,0.7667681292188857,0.7646624795709679,0.772818737102768,0.764585323907724,0.7679469197854922,0.7630555747878324,0.7688376484668757,0.7714759106302278,0.7588341195750287,0.7706961670575323,0.7542303849302862,0.7631628182738306
ti_cons_batch_gex,0.9689939133117513,0.9725552011077816,0.9655817976861707,0.9707825781510466,0.9689112880178569,0.9693803991975722,0.9694456717146187,0.9657118787795032,0.9499843709734026,0.9632155944700608,0.9630752496615774,0.9666621978805419,0.9691094007665773,0.9704335619575737,0.9657236512030476
ti_cons_batch_adt_atac,0.8526455338318543,0.8579586129222811,0.8556921117261891,0.8580448143517317,0.8584686225420957,0.8606729270334863,0.8577351719312836,0.8514669573686935,0.8455812574345953,0.8534983119734404,0.8516083808669037,0.8568575509696855,0.8548864405329106,0.8568378758271291,0.8609525518828443
ti_cons_batch_mean,0.9108197235718027,0.9152569070150314,0.9106369547061799,0.9144136962513891,0.9136899552799762,0.9150266631155293,0.9135904218229511,0.9085894180740983,0.897782814203999,0.9083569532217506,0.9073418152642405,0.9117598744251136,0.9119979206497439,0.9136357188923514,0.9133381015429459
iLISI_site,0.5367572770981727,0.5376090427953986,0.5421304848236977,0.5421957256666369,0.554777884675501,0.5662219294785572,0.5569655000758912,0.5566299160354536,0.5579756141503825,0.5632900120488925,0.5629306782234024,0.5658226591542879,0.5603857360825678,0.5544423079112857,0.5608252612403527
asw_site,0.9161687484626859,0.9117873357768753,0.919691493053484,0.9185288788705325,0.9133925880548982,0.9179740705140796,0.9186418394411933,0.9158526172003008,0.920979089042128,0.9179909771452851,0.9173230064464418,0.91896352891203,0.9215903033534218,0.9235551087953981,0.9209074115368675
iLISI_d1,0.5941946476721576,0.6041148824115359,0.6191803007280936,0.6085063077457606,0.6133151304395901,0.6361250154554681,0.6308436298337461,0.6287202838816097,0.6235958501872525,0.6338083235609888,0.6198526929101864,0.6217052694334892,0.6387472677326134,0.6141525890380783,0.630853352869404
cLISI_d1,0.9971409112386409,0.9978098885471388,0.9974008705449459,0.9977668234936488,0.9975718107064857,0.9971856312703131,0.9974212688728112,0.9974861089069771,0.9975794600287472,0.9974101533502511,0.997054137366929,0.9973740606004619,0.9968412059359096,0.9967335365167646,0.9970014089699217
asw_batch_d1,0.9048280156833899,0.9001935598071128,0.9075778742456013,0.8975584280991995,0.8982654163645201,0.902415185481782,0.8981113650181456,0.9004640530661149,0.9035643473210231,0.899299514113487,0.9022388284916657,0.9010156200626783,0.9049945123627292,0.9050279171856419,0.9016569867152413
