,BAVAE_sample_100_x50_seed_0,AVAE_sample_100_x50_seed_0,AVAE_sample_100_x1_seed_0,BAVAE_sample_100_x50_seed_994,AVAE_sample_100_x50_seed_994,AVAE_sample_100_x1_seed_994,BAVAE_sample_100_x50_seed_236,AVAE_sample_100_x50_seed_236,AVAE_sample_100_x1_seed_236,BAVAE_sample_100_x50_seed_71,AVAE_sample_100_x50_seed_71,AVAE_sample_100_x1_seed_71,BAVAE_sample_100_x50_seed_415,AVAE_sample_100_x50_seed_415,AVAE_sample_100_x1_seed_415
dims,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
iLISI_batch,0.31546637110277326,0.2369680828703253,0.060648377978044156,0.3170268700584624,0.24213486249816354,0.05791449117884362,0.31934914215747773,0.23583126673748453,0.05917678409521737,0.32217701163294016,0.23790344136810612,0.05766309647646917,0.31855860505749195,0.2349370775064437,0.060761647854412515
cLISI_full,0.9917925753210112,0.9936070859784235,0.9961816273518389,0.9919263364095341,0.9941343177275445,0.9964040047998562,0.9911936113823714,0.9944885508514434,0.9964126252799471,0.991710704260029,0.9941056092615751,0.9964466796682161,0.9919492114153486,0.9942929702994671,0.9963836570062279
asw_batch,0.8739092864444004,0.8874169833774522,0.8577822425349435,0.8746007757004076,0.8809295430617579,0.8565942607348458,0.8750819861532491,0.8815117499241597,0.8544023088262502,0.8818030447719551,0.8811837034223159,0.8521938715123466,0.8714659322779587,0.8819816043562168,0.8566057692595582
asw_label,0.5797032043337822,0.5666739493608475,0.5519441142678261,0.5786872208118439,0.5629187971353531,0.5515066236257553,0.5794094949960709,0.5760089680552483,0.5565519221127033,0.5720944851636887,0.5689907744526863,0.555808000266552,0.5754028260707855,0.5713402181863785,0.5546522289514542
cc_cons,0.8379150120082556,0.7415840024379736,0.7399687163350681,0.822810246620224,0.7609361777741473,0.8078771468116794,0.8246393668801948,0.7447003210359164,0.7668475601938015,0.8049880752827031,0.7866970341557733,0.8446557069366029,0.8832499273431936,0.7596422730897068,0.8102454539492903
graph_conn,0.9627968680767401,0.9731653853866704,0.9817903197831761,0.9631020079022111,0.9759009048371077,0.963827022873404,0.9644009121587195,0.9724627004486203,0.9708197150775408,0.963543652793384,0.9753042029000034,0.9623120623178042,0.9611298083381463,0.9690141204077537,0.9640389298006387
nmi,0.7590135468139316,0.7590224842725275,0.669736308949781,0.757948766906138,0.7761522715925939,0.6645938728912707,0.7539112839187396,0.774467465093752,0.6788534849421558,0.7577915463162218,0.7665593657985569,0.6650176748169931,0.7525181900041185,0.7748201324614983,0.6859016640540665
ti_cons_batch_gex,0.968284057516902,0.9696769733461434,0.9594422593196981,0.1735703350843067,0.9649316002875361,0.9636911315274679,0.9667005693052733,0.9666039024010437,0.9670292067879696,0.9694834364220944,0.9682800247651293,0.9622123777851188,0.9668895752553044,0.9608078451289519,0.965702456344667
ti_cons_batch_adt_atac,0.8586729079170137,0.8587862486319529,0.8483262737904429,0.2223373455869711,0.8552018002674365,0.8502670850964253,0.8607548417445509,0.8509154413700935,0.853957646535594,0.8622029726992091,0.859607678849438,0.852398273635859,0.8603586485134309,0.8544775938290083,0.8536968019373805
ti_cons_batch_mean,0.9134784827169579,0.9142316109890481,0.9038842665550705,0.1979538403356389,0.9100667002774863,0.9069791083119466,0.913727705524912,0.9087596718855686,0.9104934266617818,0.9158432045606517,0.9139438518072837,0.9073053257104888,0.9136241118843677,0.9076427194789801,0.9096996291410238
iLISI_site,0.5564292037152928,0.3887990612972376,0.012821838712157549,0.556966277710745,0.40212942790620526,0.0104436074786316,0.5598099480779002,0.3921367931957008,0.010702856462854108,0.570823884062845,0.3928332918789034,0.008541124997253347,0.5675098531431525,0.3827261956733133,0.010366853552467544
asw_site,0.9250123800756027,0.9229971112023766,0.8538333972301759,0.9253172459284578,0.9149230364990485,0.8533352516160736,0.9227961209690078,0.9200948311507436,0.8571976785821556,0.9325664523989333,0.9185251404946216,0.841437900558512,0.9227810685713086,0.9184257631698284,0.8542452522994314
iLISI_d1,0.6178660633266091,0.4994881987082538,0.02582038803163733,0.6222765703709734,0.49918332136542887,0.026639504230250077,0.6301647397742192,0.4902866207030334,0.0278254700654883,0.6442340826635689,0.49096701999809356,0.01832520748751809,0.631372815631654,0.48194685026085304,0.02715250359610355
cLISI_d1,0.9966635523835974,0.9970057445221293,0.9975391865582246,0.9971513935907732,0.996630584973131,0.9978715831604905,0.9965481843003436,0.9969363118849393,0.9977556762979137,0.9967861269772312,0.9970067136820588,0.9974860931559766,0.9969536860130125,0.9969499928896812,0.9974264768576708
asw_batch_d1,0.9035111615794532,0.907993715081701,0.8296863953942936,0.9048429715661721,0.9046402127234747,0.8285866240267158,0.9021938545812034,0.9114229771155301,0.8326216645257507,0.9110886908285603,0.9074467090224694,0.809742895363876,0.8941007275751616,0.9042803315526682,0.8257510040609158
