,iLISI_sample,iLISI_DOGMA_replicate,iLISI_DOGMA_condition,asw_label_10k_sorted_nuclei,nmi_10k_sorted_nuclei,Model
BAVAE_sample_100_extended_use_case,0.3787493045812077,0.8036393141286011,0.7448489395256264,0.6154705807566643,0.8126506752755652,BAVAE_sample_100_extended_use_case
VAE_100_extended_use_case,0.0028133750372638655,0.0022363724459109058,0.07975891648648159,0.6225001141428947,0.8404117022586528,VAE_100_extended_use_case
BAVAE_sample_100_extended_use_case_x5,0.4654438613248706,0.8383640332872524,0.7656891090680165,0.6142229661345482,0.7750283479920627,BAVAE_sample_100_extended_use_case_x5
BAVAE_sample_100_extended_use_case_x10,0.49918000752123887,0.8521613372083743,0.7776695921739241,0.6057010665535927,0.7604875019541751,BAVAE_sample_100_extended_use_case_x10
BAVAE_sample_100_extended_use_case_x25,0.5180727077758043,0.8616867685141003,0.8257066209574544,0.60875304043293,0.8123665705799354,BAVAE_sample_100_extended_use_case_x25
BAVAE_sample_100_extended_use_case_x50,0.5256623234914706,0.8551765542570673,0.8414648726437941,0.6063385531306267,0.7915946455152826,BAVAE_sample_100_extended_use_case_x50
BAVAE_sample_100_extended_use_case_x100,0.5282942292757846,0.8568562166358775,0.842479108468583,0.5955856516957283,0.7735467194651312,BAVAE_sample_100_extended_use_case_x100
